country,channel,year,out-oda-gross-channel
KW,I,2011,176833
KW,J,2011,236074111
LU,A,2011,4630766
LU,B,2011,116135056
LU,C,2011,2449194
LU,E,2011,74177213
LU,F,2011,2103644
LU,G,2011,99300
LU,H,2011,54422750
LU,I,2011,13536446
NL,A,2011,133951516
NL,B,2011,1119410414
NL,C,2011,379580189
NL,E,2011,1191890087
NL,F,2011,194681669
NL,G,2011,57217503
NL,H,2011,840875841
NL,I,2011,344636132
NO,A,2011,80599609
NO,B,2011,693344533
NO,C,2011,482062783
NO,E,2011,804334000
NO,F,2011,136048256
NO,G,2011,15163148
NO,H,2011,1027661349
NO,I,2011,456890688
NZ,A,2011,232178441
NZ,D,2011,41988435
NZ,E,2011,15263591
NZ,F,2011,942292
NZ,G,2011,632542
NZ,H,2011,43280491
NZ,I,2011,4615360
PT,B,2011,107645413
PT,C,2011,331993616
PT,E,2011,12378927
PT,F,2011,6663605
PT,G,2011,239633
PT,H,2011,15841439
PT,I,2011,34599
SE,A,2011,827410121
SE,B,2011,562613691
SE,E,2011,837919303
SE,F,2011,130188608
